Date,Open,High,Low,Close,Volume,OpenNorm,HighNorm,LowNorm,CloseNorm
2015-01-02,27.84749984741211,27.86000061035156,26.837499618530273,27.332500457763672,212818400,1.0188420152208268,1.0192993741426264,0.9818896613576094,1.0
2015-01-05,27.072500228881836,27.162500381469727,26.352500915527344,26.5625,257142000,0.9904875066485919,0.9937802954926629,0.9641452656791976,0.9718283931265806
2015-01-06,26.635000228881836,26.857500076293945,26.157499313354492,26.565000534057617,263188400,0.9744809213500365,0.9826214077192194,0.957010843328261,0.9719198788675754
2015-01-07,26.799999237060547,27.049999237060547,26.674999237060547,26.9375,160423600,0.9805176543753841,0.9896642745459872,0.9759443442900825,0.9855483233824853
2015-01-08,27.3075008392334,28.037500381469727,27.174999237060547,27.97249984741211,237458000,0.9990853519395745,1.0257934660897738,0.9942375846312888,1.0234153253061282
2015-01-09,28.167499542236328,28.3125,27.552499771118164,28.002500534057617,214798000,1.030549677873891,1.0358547343208024,1.0080490006281881,1.0245129448485433
2015-01-12,28.149999618530273,28.157499313354492,27.200000762939453,27.3125,198603200,1.0299094172532757,1.030183804693086,0.9951523024748882,0.99926825363839
2015-01-13,27.857500076293945,28.200000762939453,27.227500915527344,27.55500030517578,268367600,1.0192078884016318,1.0317387831573006,0.9961584362763084,1.008140486369183
2015-01-14,27.260000228881836,27.622499465942383,27.125,27.450000762939453,195826400,0.9973474717765443,1.0106100431106493,0.9924082885104377,1.0042989226454913
2015-01-15,27.5,27.51499938964844,26.665000915527344,26.704999923706055,240056000,1.0061282187663423,1.006676993645963,0.9755785408924514,0.9770419638324975
2015-01-16,26.75749969482422,26.895000457763672,26.299999237060547,26.497499465942383,314053200,0.9789627456943433,0.9839934147014445,0.9622244140341778,0.9694502523429351
2015-01-20,26.959999084472656,27.24250030517578,26.625,27.18000030517578,199599600,0.9863714857019161,0.996707211155929,0.9741150481692314,0.9944205561132782
2015-01-21,27.237499237060547,27.76499938964844,27.0674991607666,27.387500762939453,194303600,0.9965242396739395,1.0158236138165662,0.9903045351666024,1.0020122676028405
2015-01-22,27.565000534057617,28.11750030517578,27.43000030517578,28.100000381469727,215185600,1.008506359549988,1.02872038175304,1.0035671762838814,1.0280801211324246
2015-01-23,28.075000762939453,28.4375,27.88249969482422,28.2450008392334,185859200,1.027165473071999,1.040428044406104,1.0201225364620572,1.0333851775793361
2015-01-26,28.434999465942383,28.59000015258789,28.200000762939453,28.274999618530273,222460000,1.0403365586651092,1.0460074882928259,1.0317387831573006,1.0344827273385773
2015-01-27,28.104999542236328,28.1200008392334,27.25749969482422,27.28499984741211,382274800,1.0282630228312402,1.0288118674940345,0.9972559860355495,0.9982621198369698
2015-01-28,29.407499313354492,29.530000686645508,28.82749938964844,28.82749938964844,585908400,1.0759169055461015,1.0803987996735822,1.0546967495416293,1.0546967495416293
2015-01-29,29.079999923706055,29.79750061035156,28.88999938964844,29.725000381469727,337745600,1.063934855453227,1.0901856804648005,1.05698340458428,1.0875331522413447
2015-01-30,29.600000381469727,30.0,29.212499618530273,29.290000915527344,334982000,1.0829598421560434,1.0975944204723735,1.0687825529783388,1.0716180526837842
2015-02-02,29.512500762939453,29.792499542236328,29.020000457763672,29.657499313354492,250956400,1.079758539052967,1.090002708982811,1.061739686151571,1.0850635257167045
2015-02-03,29.625,29.772499084472656,29.40250015258789,29.662500381469727,207662800,1.0838744902164688,1.0892709626212012,1.075734003847286,1.0852464971986941
2015-02-04,29.625,30.127500534057617,29.57749938964844,29.88999938964844,280598800,1.0838744902164688,1.1022592162986697,1.0821366100534386,1.0935698852666926
2015-02-05,30.0049991607666,30.0575008392334,29.8125,29.98500061035156,168984800,1.097777322171189,1.0996981738162086,1.0907344553444211,1.0970456455927529
2015-02-06,30.0049991607666,30.0625,29.612499237060547,29.732500076293945,174826400,1.097777322171189,1.0998810755150243,1.083417131294669,1.087807539681155
2015-02-09,29.637500762939453,29.959999084472656,29.607500076293945,29.93000030517578,155559200,1.0843318491382685,1.0961309277491535,1.0832342295958535,1.0950333779899124
2015-02-10,30.042499542236328,30.537500381469727,30.040000915527344,30.5049991607666,248034000,1.0991493291534142,1.1172596677958049,1.0990579131955935,1.1160705625123952
2015-02-11,30.6924991607666,31.229999542236328,30.625,31.219999313354492,294247200,1.1229305276403476,1.142595774963779,1.1204609708988813,1.142229901782974
2015-02-12,31.51499938964844,31.8700008392334,31.392499923706055,31.614999771118164,297898000,1.1530229163756127,1.1660111700530813,1.148541092031306,1.1566815784004887
2015-02-13,31.81999969482422,31.81999969482422,31.412500381469727,31.770000457763672,217088800,1.1641818041490564,1.1641818041490564,1.1492728383929158,1.1623525080282053
2015-02-17,31.872499465942383,32.220001220703125,31.729999542236328,31.957500457763672,252609600,1.166102586010902,1.1788164522485605,1.1608890153049853,1.1692124731561575
2015-02-18,31.907499313354492,32.19499969482422,31.862499237060547,32.18000030517578,179566800,1.1673831072521326,1.177901734404961,1.165736712830097,1.1773529595253405
2015-02-19,32.119998931884766,32.25749969482422,32.08250045776367,32.11249923706055,149449600,1.1751577204405104,1.1801883894476117,1.173785783241459,1.1748833330007002
2015-02-20,32.154998779296875,32.375,32.01250076293945,32.375,195793600,1.176438241681741,1.184487312093103,1.1712247407589982,1.184487312093103
2015-02-23,32.505001068115234,33.25,32.415000915527344,33.25,283896400,1.189243593660394,1.216500482690214,1.185950804816323,1.216500482690214
2015-02-24,33.23500061035156,33.400001525878906,32.79249954223633,33.04249954223633,276912400,1.2159517078105935,1.2219885106191148,1.1997621510300485,1.2089087712006517
2015-02-25,32.88999938964844,32.900001525878906,32.037498474121094,32.1974983215332,298846800,1.2033293273139298,1.2036952702779087,1.1721393190362497,1.1779931503627818
2015-02-26,32.1974983215332,32.717498779296875,31.65250015258789,32.60499954223633,365150000,1.1779931503627818,1.197018137065598,1.1580535853827139,1.192902185902096
2015-02-27,32.5,32.64250183105469,32.060001373291016,32.1150016784668,248059200,1.1890606221784046,1.1942742626674954,1.1729626209220283,1.1749748885248688
2015-03-02,32.3125,32.56999969482422,32.07500076293945,32.272499084472656,192386800,1.1822006570504522,1.1916216646608657,1.1735113958016488,1.1807371643272322
2015-03-03,32.2400016784668,32.380001068115234,32.022499084472656,32.34000015258789,151265200,1.1795481986101704,1.1846702835750924,1.1715905441566292,1.1832067908518724
2015-03-04,32.275001525878906,32.38999938964844,32.08000183105469,32.1349983215332,126665200,1.180828719851401,1.1850360869727237,1.1736943672836384,1.175706495320131
2015-03-05,32.14500045776367,32.1875,31.440000534057617,31.602500915527344,226068400,1.17607243828411,1.1776273469651508,1.150278972194336,1.1562242892618628
2015-03-06,32.099998474121094,32.342498779296875,31.565000534057617,31.649999618530273,291368400,1.1744259740789005,1.1832982068096933,1.1548522822796377,1.1579620996417193
2015-03-09,31.989999771118164,32.39250183105469,31.26499938964844,31.78499984741211,354114000,1.1704015086563935,1.1851276424968922,1.1438762962050097,1.1629012829078258
2015-03-10,31.602500915527344,31.80500030517578,30.950000762939453,31.127500534057617,275426400,1.1562242892618628,1.1636330292694357,1.1323516050339348,1.1388456969810823
2015-03-11,31.1875,31.1924991607666,30.52750015258789,30.559999465942383,275756000,1.1410408662827383,1.1412237679815538,1.116893794615,1.1180828301152357
2015-03-12,30.57749938964844,31.225000381469727,30.407499313354492,31.112499237060547,193450800,1.1187230907358512,1.1424128732649634,1.1125033862285139,1.1382968523182877
2015-03-13,31.100000381469727,31.350000381469727,30.645000457763672,30.897499084472656,207309200,1.1378395631796618,1.146986183350265,1.1211927172604912,1.130430753388915
2015-03-16,30.969999313354492,31.237499237060547,30.717500686645508,31.237499237060547,143497200,1.133083281612371,1.1428701624035893,1.123845245483947,1.1428701624035893
2015-03-17,31.475000381469727,31.829999923706055,31.412500381469727,31.760000228881836,204092400,1.1515594934355666,1.1645476773298613,1.1492728383929158,1.1619866348474002
2015-03-18,31.75,32.290000915527344,31.592500686645508,32.11750030517578,261083600,1.1616207616665952,1.1813774947310214,1.1558584160810579,1.1750663044826897
2015-03-19,32.1875,32.3125,31.850000381469727,31.875,183238000,1.1776273469651508,1.1822006570504522,1.1652794236914712,1.1661940717518968
2015-03-20,32.0625,32.099998474121094,31.290000915527344,31.475000381469727,274780400,1.1730540368798492,1.1744259740789005,1.144791014048609,1.1515594934355666
2015-03-23,31.780000686645508,31.962499618530273,31.6299991607666,31.802499771118164,150838800,1.1627183812090103,1.169395374854973,1.1572303532801091,1.163541543528441
2015-03-24,31.8075008392334,32.0099983215332,31.63999938964844,31.67250061035156,131369200,1.1637245150104305,1.1711331852348295,1.1575962264609143,1.1587853317443237
2015-03-25,31.635000228881836,31.704999923706055,30.844999313354492,30.844999313354492,206620800,1.1574133247620988,1.1599743672445597,1.1285099715270694,1.1285099715270694
2015-03-26,30.690000534057617,31.219999313354492,30.649999618530273,31.059999465942383,190291600,1.1228391116825267,1.142229901782974,1.1213756189593067,1.136376070456442
2015-03-27,31.142499923706055,31.174999237060547,30.727500915527344,30.8125,158184800,1.1393944718607028,1.1405835073609385,1.124211118664752,1.1273209360268335
2015-03-30,31.012500762939453,31.600000381469727,31.0,31.592500686645508,188398800,1.1346382600765856,1.1561328035208682,1.1341809011547859,1.1558584160810579
2015-03-31,31.522499084472656,31.622499465942383,31.09000015258789,31.107500076293945,168362400,1.1532973038154228,1.156955965840299,1.137473689998857,1.1381139506194722
2015-04-01,31.204999923706055,31.280000686645508,30.774999618530273,31.0625,162485600,1.1416811269033535,1.1444251408678041,1.1259489290446083,1.1364675561974367
2015-04-02,31.25749969482422,31.38999938964844,31.04750061035156,31.329999923706055,128880400,1.1436019087651994,1.1484496062903113,1.135918781317816,1.1462544369886551
2015-04-06,31.11750030517578,31.877500534057617,31.082500457763672,31.837499618530273,148776000,1.1384798238002771,1.1662855574928916,1.1371993025590468,1.1648220647696717
2015-04-07,31.90999984741211,32.029998779296875,31.4950008392334,31.502500534057617,140049200,1.1674745929931274,1.1718649315964393,1.1522912397971765,1.1525656272369869
2015-04-08,31.462499618530273,31.600000381469727,31.24250030517578,31.399999618530273,149316800,1.1511021345137669,1.1561328035208682,1.1430531338855787,1.148815479471116
2015-04-09,31.462499618530273,31.645000457763672,31.165000915527344,31.63999938964844,129936000,1.1511021345137669,1.1577791979429037,1.1402177039633075,1.1575962264609143
2015-04-10,31.487499237060547,31.802499771118164,31.315000534057617,31.774999618530273,160752000,1.1520167825741925,1.163541543528441,1.1457056621090345,1.1625354097270209
2015-04-13,32.092498779296875,32.14250183105469,31.65250015258789,31.712499618530273,145460400,1.1741515866390901,1.1759810223262892,1.1580535853827139,1.16024875468437
2015-04-14,31.75,31.822500228881836,31.477500915527344,31.575000762939453,102098400,1.1616207616665952,1.164273289890051,1.1516509791765612,1.1552181554604426
2015-04-15,31.602500915527344,31.782499313354492,31.502500534057617,31.69499969482422,115881600,1.1562242892618628,1.162809797166831,1.1525656272369869,1.1596084940637548
2015-04-16,31.56999969482422,31.774999618530273,31.52750015258789,31.542499542236328,113476000,1.1550351839784532,1.1625354097270209,1.1534802752974125,1.154029050177033
2015-04-17,31.387500762939453,31.53499984741211,31.114999771118164,31.1875,207828000,1.1483581903324902,1.1537546627372226,1.1383883380592825,1.1410408662827383
2015-04-20,31.392499923706055,32.029998779296875,31.292499542236328,31.899999618530273,188217200,1.148541092031306,1.1718649315964393,1.1448824300064298,1.1671087198123224
2015-04-21,32.025001525878906,32.04999923706055,31.667499542236328,31.727500915527344,129740400,1.1716820996807977,1.1725966779580494,1.1586023602623345,1.1607975993471644
2015-04-22,31.747499465942383,32.217498779296875,31.579999923706055,32.154998779296875,150618000,1.1615292759256006,1.1787248967243917,1.1554010571592581,1.176438241681741
2015-04-23,32.07500076293945,32.60499954223633,32.03499984741211,32.41749954223633,183083600,1.1735113958016488,1.192902185902096,1.172047903078429,1.186042220774144
2015-04-24,32.622501373291016,32.657501220703125,32.307498931884766,32.56999969482422,178103600,1.1935425163058853,1.1948230375471158,1.1820176855684628,1.1916216646608657
2015-04-27,33.07749938964844,33.282501220703125,32.787498474121094,33.162498474121094,387816800,1.2101892924418822,1.2176895879736236,1.199579179548059,1.2132991098039636
2015-04-28,33.6150016784668,33.6349983215332,32.39250183105469,32.63999938964844,475696000,1.2298546095484875,1.2305862163437498,1.1851276424968922,1.1941827071433266
2015-04-29,32.540000915527344,32.897499084472656,32.07500076293945,32.15999984741211,253544400,1.1905241149016246,1.2036037147537402,1.1735113958016488,1.1766212131637304
2015-04-30,32.15999984741211,32.15999984741211,31.145000457763672,31.287500381469727,332781600,1.1766212131637304,1.1766212131637304,1.1394859576016974,1.1446995283076142
2015-05-01,31.524999618530273,32.532501220703125,31.325000762939453,32.23749923706055,234050400,1.1533887895564177,1.1902497274618142,1.1460715352898396,1.1794566430860018
2015-05-04,32.375,32.64250183105469,32.064998626708984,32.17499923706055,203953200,1.184487312093103,1.1942742626674954,1.17314545283767,1.177169988043351
2015-05-05,32.037498474121094,32.11249923706055,31.44499969482422,31.450000762939453,197085600,1.1721393190362497,1.1748833330007002,1.1504618738931516,1.150644845375141
2015-05-06,31.63999938964844,31.6875,30.84000015258789,31.252500534057617,288564000,1.1575962264609143,1.1593341066239444,1.128327069828254,1.1434190070663837
2015-05-07,31.1924991607666,31.520000457763672,31.0049991607666,31.315000534057617,175763600,1.1412237679815538,1.1532058878576021,1.1343638028536014,1.1457056621090345
