Date,Open,High,Low,Close,Volume,SMA20,SMA50,EMA20,RSI,MACD,VolumeChange,TargetReturn
2015-03-16,0.5720000267028809,0.577750027179718,0.5682500004768372,0.5742499828338623,236956000,0.5616749972105026,0.5268950009346008,0.5582198755322995,63.989598888967,0.012340966337944792,-0.34048451381621425,0.012189863815967839
2015-03-17,0.5730000138282776,0.5814999938011169,0.5690000057220459,0.581250011920929,299900000,0.5627624988555908,0.5284550011157989,0.5604132218550261,66.92109117486649,0.01269794677451952,0.26563581424399474,-0.016344131626741726
2015-03-18,0.581250011920929,0.5842499732971191,0.5665000081062317,0.5717499852180481,413844000,0.5636999994516373,0.5299950009584427,0.5614929136038853,59.8054912240106,0.012075089467623035,0.3799399799933312,0.015303929486478476
2015-03-19,0.5737500190734863,0.5824999809265137,0.5695000290870667,0.5805000066757202,310756000,0.5650000005960465,0.5320100009441375,0.5633031129440601,63.64025258475229,0.012147495403656672,-0.24909869419394748,0.010766518803339996
2015-03-20,0.5852500200271606,0.5902500152587891,0.5797500014305115,0.5867499709129333,462084000,0.5664124995470047,0.5341750001907348,0.5655361470363337,66.12618238102696,0.01256436335076938,0.4869672669232452,-0.0323817549944733
2015-03-23,0.5692499876022339,0.5767499804496765,0.5674999952316284,0.5677499771118164,426012000,0.5670999974012375,0.5356000000238419,0.5657469879959035,54.03192849669667,0.011232116643138723,-0.07806372867270883,-0.013650330321553293
2015-03-24,0.5659999847412109,0.5699999928474426,0.5575000047683716,0.5600000023841858,330480000,0.5672124981880188,0.5368300002813339,0.5651996560328828,50.01377282637902,0.009442100678624055,-0.22424720430410416,-0.06071424884151455
2015-03-25,0.5597500205039978,0.5597500205039978,0.5242499709129333,0.5260000228881836,542552000,0.5658374994993209,0.5375050008296967,0.5614663576381496,37.01024255403091,0.0052198151548517036,0.6417090292907286,-0.003327094865207388
2015-03-26,0.515250027179718,0.5264999866485596,0.5115000009536743,0.5242499709129333,311920000,0.5642999976873397,0.5381600004434586,0.5579219398547957,36.484423738717,0.0017126663372910578,-0.42508736489774257,0.019551802607141983
2015-03-27,0.5272499918937683,0.5364999771118164,0.518750011920929,0.534500002861023,318288000,0.5634499967098237,0.53898000061512,0.5556912791887221,41.708156341317775,-0.0002369510291814203,0.02041549115157726,0.004209571045056205
2015-03-30,0.5370000004768372,0.5394999980926514,0.5299999713897705,0.5367500185966492,253252000,0.5620374977588654,0.539915000796318,0.5538873496085247,42.8198647562658,-0.0015822402914767997,-0.20433066907957576,-0.025151437990461257
2015-03-31,0.5352500081062317,0.5357499718666077,0.5227500200271606,0.5232499837875366,357276000,0.5604749977588653,0.5404000002145767,0.5509695052446211,38.12207429955824,-0.0036951364755807292,0.4107529259393805,0.0038223295124846816
2015-04-01,0.5252500176429749,0.5270000100135803,0.5162500143051147,0.5252500176429749,330768000,0.5586999982595444,0.5408950001001358,0.5485200302349404,39.18654851232662,-0.00514888279117609,-0.07419474020085315,0.0023797600449284536
2015-04-02,0.528249979019165,0.5297499895095825,0.5220000147819519,0.5264999866485596,192204000,0.5564499974250794,0.5412749999761581,0.5464228832267137,39.88260760884555,-0.006129468470571053,-0.4189159773617762,0.028964914656108925
2015-04-06,0.5242499709129333,0.5435000061988831,0.518750011920929,0.5417500138282776,515864000,0.5553499966859817,0.5417849999666214,0.5459778480459103,47.74147035226118,-0.005611355726751199,1.6839399804374517,0.008767906285547555
2015-04-07,0.5417500138282776,0.5525000095367432,0.5387499928474426,0.546500027179718,413964000,0.5544124990701675,0.5423600000143051,0.5460275793919872,49.936738638061186,-0.004762561421059575,-0.1975326830327373,0.007319210068898167
2015-04-08,0.546999990940094,0.5525000095367432,0.5417500138282776,0.5504999756813049,366432000,0.5531874984502793,0.5430599993467331,0.5464535218957317,51.77393875115768,-0.0037241932222166207,-0.1148215786880018,0.023160817669654263
2015-04-09,0.5462499856948853,0.5649999976158142,0.5460000038146973,0.5632500052452087,379432000,0.5527499973773956,0.5445099991559982,0.5480531869766343,57.169448339532266,-0.0018511195602223252,0.03547725089511844,0.010208611492748975
2015-04-10,0.5637500286102295,0.5692499876022339,0.5617499947547913,0.5690000057220459,258728000,0.552862498164177,0.5462349992990494,0.5500481220952449,59.37677421430557,9.61731709480107e-05,-0.3181176073710177,-0.009226673214448082
2015-04-13,0.5677499771118164,0.5709999799728394,0.5612499713897705,0.5637500286102295,236724000,0.552674999833107,0.5476199996471405,0.5513530655728625,56.51302142078856,0.0012019322856408055,-0.08504684456262945,-0.008425743876501931
2015-04-14,0.5615000128746033,0.5637500286102295,0.5534999966621399,0.5590000152587891,220276000,0.5519125014543533,0.549200000166893,0.5520813464953317,53.97645974799556,0.0016756520963462362,-0.06948175934843959,0.01207511166007568
2015-04-15,0.5605000257492065,0.5699999928474426,0.5577499866485596,0.565750002861023,243560000,0.551137501001358,0.5507050001621246,0.5533831232920642,56.93459650384983,0.0025661648952669536,0.10570375347291572,-0.006186451124191531
2015-04-16,0.5625,0.5672500133514404,0.5582500100135803,0.562250018119812,155284000,0.5506625026464462,0.5518950009346009,0.5542275894661354,54.96195460489279,0.0029554150017291336,-0.3624404664148464,-0.01289463892148725
2015-04-17,0.5504999756813049,0.5605000257492065,0.5502499938011169,0.5550000071525574,293636000,0.5493875026702881,0.5529150009155274,0.5543011530553185,51.018668215529246,0.0026483546375896116,0.8909610777671879,-0.004954917946958311
2015-04-20,0.5575000047683716,0.5609999895095825,0.5512499809265137,0.5522500276565552,231624000,0.5476625055074692,0.5537150013446808,0.5541058077792458,49.56603553606298,0.002158228014863761,-0.21118663924042014,-0.0013580900093230401
2015-04-21,0.5590000152587891,0.5590000152587891,0.5487499833106995,0.5515000224113464,230456000,0.5468500077724456,0.5545450019836425,0.5538576377442077,49.15496756947583,0.0016898010058185031,-0.005042655337961555,0.011332663614202872
2015-04-22,0.5547500252723694,0.5584999918937683,0.5462499856948853,0.5577499866485596,207420000,0.5467375069856644,0.5555100011825561,0.5542283376398602,52.67704743005274,0.0018021154420897467,-0.09995834345818722,-0.004034093750761422
2015-04-23,0.5475000143051147,0.5607500076293945,0.5412499904632568,0.5554999709129333,259380000,0.5482125043869018,0.5561450004577637,0.5543494455706292,51.29934570310989,0.001690085720177259,0.25050621926525896,-0.008550772269149482
2015-04-24,0.5552499890327454,0.5554999709129333,0.5444999933242798,0.5507500171661377,240960000,0.549537506699562,0.5567550003528595,0.5540066428654394,48.42029246857409,0.001204139220698841,-0.07101549849641453,0.007716731464281802
2015-04-27,0.5525000095367432,0.5647500157356262,0.5477499961853027,0.5550000071525574,248456000,0.5505625069141388,0.5567050004005432,0.554101248988022,51.066519987111306,0.0011487200622384286,0.031108897742363917,0.004954917946958311
2015-04-28,0.5540000200271606,0.5597500205039978,0.5487499833106995,0.5577499866485596,234484000,0.5516125053167343,0.5567050004005432,0.5544487478128352,52.75550482616124,0.0013115812504507218,-0.056235309270051825,-0.007619883618388346
2015-04-29,0.5537499785423279,0.559249997138977,0.5512499809265137,0.5534999966621399,195156000,0.5531250059604644,0.5565850007534027,0.5543583905603879,49.8895310973908,0.0010852017123789137,-0.16772146500400875,0.0027100460694909397
2015-04-30,0.5507500171661377,0.5577499866485596,0.5494999885559082,0.5550000071525574,218844000,0.5546125054359436,0.5566250014305115,0.5544194969024994,50.90332019948825,0.0010151308118445668,0.12137981922154584,0.02477480452630149
2015-05-01,0.559499979019165,0.5705000162124634,0.5569999814033508,0.5687500238418579,256968000,0.5567250072956085,0.5569100022315979,0.5557843089919621,59.07641342564501,0.0020455309440556846,0.17420628392827764,-0.0061539238666105224
