Date,Open,High,Low,Close,Volume,SMA20,SMA50,EMA20,RSI,MACD,VolumeChange
2015-03-16,206.7100067138672,208.69000244140625,205.86000061035156,208.5800018310547,136099200,209.44000167846679,206.0002005004883,208.0340701183344,52.09165336535732,0.0014395545564411805,-0.16200698352142617
2015-03-17,207.69000244140625,208.4199981689453,206.97999572753903,207.9600067138672,94510400,209.33250198364257,206.05080078125,208.0270164607661,50.32546277804675,0.00794492494384258,-0.305577108462063
2015-03-18,207.38999938964844,211.27000427246097,206.6199951171875,210.4600067138672,228808500,209.3490020751953,206.2256008911133,208.2587298182043,56.70057681453747,0.2123813840799187,1.4209875315309213
2015-03-19,209.9600067138672,210.47000122070312,209.02999877929688,209.5,117917300,209.32500228881835,206.4192007446289,208.37694602599436,53.84297245067423,0.2935503662389465,-0.4846463308836866
2015-03-20,209.7100067138672,211.02000427246097,209.4900054931641,210.41000366210935,177715100,209.28350219726562,206.58120086669922,208.57057056276722,56.101462731729065,0.4263918795376185,0.5071164282085834
2015-03-23,210.4199981689453,211.11000061035156,210.0,210.0,71784500,209.22300186157227,206.66320098876952,208.70670669964653,54.80041415261858,0.4929039766883818,-0.596069776850701
2015-03-24,209.8500061035156,210.3999938964844,208.7400054931641,208.82000732421875,77805300,209.07350234985353,206.7546011352539,208.71749723532008,51.125610856384235,0.4452669849158326,0.08387325954767388
2015-03-25,209.07000732421875,209.3500061035156,205.7100067138672,205.7599945068359,159521700,208.78000183105468,206.81680114746095,208.4358303087978,43.06131954196831,0.1587667012582017,1.0502677838142134
2015-03-26,204.9600067138672,206.3699951171875,204.1199951171875,205.27000427246097,153067200,208.4745018005371,206.88060119628906,208.1343230672419,41.92104696326542,-0.10659618014744865,-0.04046157983521992
2015-03-27,205.1300048828125,205.9499969482422,204.8999938964844,205.7400054931641,118939000,208.22850189208984,206.97820129394532,207.90629282209161,43.46742737817555,-0.2757938254074759,-0.2229622022222919
2015-03-30,206.97999572753903,208.61000061035156,206.9600067138672,208.25,96180400,208.04150161743163,207.1628012084961,207.93902683903528,50.97461159879896,-0.20498565148577086,-0.1913468248429867
2015-03-31,207.2599945068359,208.1000061035156,206.36000061035156,206.42999267578125,126768700,207.80700149536133,207.25880096435546,207.79530929967774,46.185359477645555,-0.29235891257894764,0.3180304926991362
2015-04-01,206.38999938964844,206.4199981689453,204.5099945068359,205.6999969482422,137303600,207.58050155639648,207.33160095214845,207.59575574239815,44.38411283490292,-0.4157152986797996,0.08310332124570174
2015-04-02,205.6199951171875,206.97999572753903,205.3999938964844,206.44000244140625,86900900,207.37950134277344,207.39880096435547,207.48568399944654,46.655332687632644,-0.44859276641321344,-0.36708942809948175
2015-04-06,205.3699951171875,208.4499969482422,205.2100067138672,207.8300018310547,114368200,207.39600143432617,207.43340087890624,207.5184761738854,50.72579970699852,-0.35835615573196833,0.31607612809533614
2015-04-07,207.86000061035156,208.7599945068359,207.2400054931641,207.27999877929688,81236300,207.34200134277344,207.4796008300781,207.49576404106745,49.12837355920995,-0.32744901296544526,-0.2896950376066074
2015-04-08,207.5500030517578,208.5099945068359,207.0800018310547,207.97999572753903,89351900,207.49200134277345,207.53020080566407,207.54188134454094,51.23327241084772,-0.2436621899926763,0.09990115256357068
2015-04-09,207.77999877929688,209.17999267578125,207.19000244140625,208.8999938964844,85548900,207.71200103759764,207.65340057373047,207.67122539710698,53.93124529735302,-0.10185029880193497,-0.04256204960386967
2015-04-10,209.1999969482422,210.08999633789065,208.9600067138672,210.0399932861328,72722900,207.8590003967285,207.85140045166017,207.89682233891895,57.098539346909,0.10135669317190832,-0.149925948784847
2015-04-13,209.8699951171875,210.6300048828125,209.02999877929688,209.08999633789065,74436600,208.02200012207032,207.9934002685547,208.01045795786862,53.780302170247644,0.18362615604752364,0.023564791833109
2015-04-14,208.8500061035156,209.7100067138672,208.1000061035156,209.4900054931641,75099900,208.06750030517577,208.1942004394531,208.15136724694437,54.967014808780284,0.27789924440725144,0.008910938973569538
2015-04-15,210.0500030517578,211.0399932861328,209.9499969482422,210.42999267578125,99529300,208.19099960327148,208.36440032958984,208.36837919254788,57.714566885451625,0.42357771573082914,0.32529204433028536
2015-04-16,210.02999877929688,210.97999572753903,209.7899932861328,210.3699951171875,68934900,208.1864990234375,208.47500030517577,208.5590092806088,57.473532270885954,0.5281000436807517,-0.3073908889141188
2015-04-17,208.94000244140625,209.22999572753903,207.0099945068359,207.9499969482422,191113200,208.1089988708496,208.55280029296875,208.5010081060977,48.648271776209285,0.4109242353646323,1.7723721946358086
2015-04-20,209.05999755859375,210.25,208.9600067138672,209.8500061035156,92189500,208.08099899291992,208.62740051269532,208.62948410585176,54.54927436148431,0.46600461177280295,-0.5176183539389221
2015-04-21,210.6699981689453,210.86000061035156,209.2400054931641,209.6000061035156,72559800,208.0609992980957,208.70840057373047,208.72191477229595,53.67526925349995,0.4839051390239604,-0.2129277195342203
2015-04-22,210.0099945068359,210.8500061035156,208.8999938964844,210.6300048828125,78264600,208.1514991760254,208.82840057373048,208.9036376399642,56.74990348881724,0.5745803249450034,0.07862204691854169
2015-04-23,210.1499938964844,211.94000244140625,210.0099945068359,211.16000366210935,102585900,208.42149963378907,208.91540069580077,209.11852964207324,58.284181860903935,0.6813533182464653,0.31075735389946413
2015-04-24,211.66000366210935,211.97000122070312,211.11000061035156,211.6499938964844,61327400,208.74049911499023,209.00980072021486,209.35962147582669,59.707299166907866,0.7963302027120562,-0.4021849006539885
2015-04-27,212.3300018310547,212.47999572753903,210.5399932861328,210.77000427246097,79358100,208.99199905395508,209.04680084228517,209.49394364693472,56.011631042271596,0.8071382167990464,0.29400724635317976
2015-04-28,210.7400054931641,211.5,209.3300018310547,211.44000244140625,86863500,209.1514991760254,209.08000091552734,209.67928257974154,58.13626564982829,0.8598550251671213,0.09457635704483858
2015-04-29,210.3699951171875,211.2899932861328,209.6000061035156,210.57000732421875,125684900,209.35849990844727,209.0892010498047,209.764113507787,54.458056557882735,0.821957130350313,0.44692419715991183
2015-04-30,209.8800048828125,210.3500061035156,207.6199951171875,208.4600067138672,161304900,209.49650039672852,209.0558010864258,209.63991286074702,46.73511044748693,0.6145788776840391,0.2834071555135105
2015-05-01,209.3999938964844,210.77000427246097,209.27999877929688,210.72000122070312,103399700,209.71050033569335,209.07060119628906,209.74277841883807,54.22327042214352,0.6253837528904285,-0.35897979540609115
2015-05-04,211.22999572753903,212.02000427246097,211.1000061035156,211.32000732421875,70927200,209.88500061035157,209.07220123291015,209.892990695541,55.99214582956134,0.6745859653366892,-0.3140482999467117
2015-05-05,211.02999877929688,211.4600067138672,208.72999572753903,208.8999938964844,113326200,209.96600036621095,209.0260009765625,209.7984195718213,47.94498851289299,0.5123976137264492,0.5977819510709572
2015-05-06,209.55999755859375,209.92999267578125,206.7599945068359,208.0399932861328,135060200,209.96900024414063,208.95060089111328,209.63095040175574,45.44538659445179,0.31088364153964676,0.19178265926149463
2015-05-07,207.9199981689453,209.3800048828125,207.52000427246097,208.8699951171875,88244900,209.96750030517578,208.8954006958008,209.5584784698921,48.24957093459228,0.21567046305534632,-0.34662543073385055
2015-05-08,210.8800048828125,211.86000061035156,210.77999877929688,211.6199951171875,155877300,210.0465003967285,208.90020050048827,209.75481338868212,56.2699263271454,0.3579886797635652,0.766417096058809
2015-05-11,211.57000732421875,211.88999938964844,210.52000427246097,210.61000061035156,75708100,210.12250061035155,208.89920043945312,209.83625979074588,53.01988107088157,0.3848425506590445,-0.514309652527982
2015-05-12,209.61000061035156,210.6300048828125,208.6199951171875,209.97999572753903,119727600,210.14700012207032,208.85900024414062,209.8499489275833,51.03958650239962,0.35123943833670523,0.5814371249575674
2015-05-13,210.47000122070312,211.22000122070312,209.7400054931641,210.02000427246097,94667900,210.1265007019043,208.8370004272461,209.86614467471452,51.16433109023728,0.32410104977779497,-0.20930595785767026
2015-05-14,211.2400054931641,212.32000732421875,210.91000366210935,212.2100067138672,95934000,210.21850128173827,208.87660064697266,210.0893696308243,57.541370906303875,0.4738463697395332,0.01337412153433215
2015-05-15,212.44000244140625,212.61000061035156,211.86000061035156,212.44000244140625,76510100,210.4430015563965,208.91620056152342,210.3132394223083,58.159302999313994,0.6041154805133431,-0.2024714908166031
2015-05-18,212.2400054931641,213.3999938964844,212.16000366210935,213.1000061035156,74549700,210.6055015563965,209.02820068359375,210.57864577289948,59.96015662250522,0.7519435320227785,-0.025622760916532594
2015-05-19,213.2400054931641,213.57000732421875,212.69000244140625,213.02999877929688,72114600,210.77700119018556,209.12160064697267,210.81210796398494,59.666801230077375,0.8536094435865209,-0.032664115348552736
2015-05-20,213.1499938964844,213.77999877929688,212.5,212.8800048828125,76857500,210.88950119018554,209.27960083007812,211.0090505276828,59.00075605581506,0.9115691552791816,0.06576892889927977
2015-05-21,212.7100067138672,213.75,212.5099945068359,213.5,64764600,211.0065010070801,209.45960083007813,211.24628381076064,60.94157499894189,0.9960492332724016,-0.15734183391341117
2015-05-22,213.0399932861328,213.5399932861328,212.91000366210935,212.9900054931641,57433500,211.07350158691406,209.57740081787108,211.41235254241812,58.48887541204791,1.0102030176702215,-0.11319609786827989
2015-05-26,212.3999938964844,212.91000366210935,210.1999969482422,210.6999969482422,124308600,211.07000122070312,209.67480072021485,211.3445091524966,48.96024368029151,0.8271011355645328,1.1643918618924496
2015-05-27,211.25,212.97999572753903,210.7599945068359,212.6999969482422,93214000,211.13300094604492,209.7572006225586,211.47360322828192,55.74178946059279,0.833763750603481,-0.25014037645022147
2015-05-28,212.3300018310547,212.58999633789065,211.6300048828125,212.4600067138672,74974600,211.22750091552734,209.8472006225586,211.56754641738527,54.80086283146896,0.8103376468166061,-0.19567232389984335
2015-05-29,212.3800048828125,212.42999267578125,210.82000732421875,211.13999938964844,124919600,211.36150054931642,209.86080047607422,211.5268276528389,49.81956781830502,0.6774495151733504,0.666158939160729
2015-06-01,211.94000244140625,212.33999633789065,210.6199951171875,211.57000732421875,93338800,211.40400085449218,209.90220062255858,211.53094000249413,51.37031546508532,0.5999172869835547,-0.25280900675314366
2015-06-02,211.02000427246097,212.19000244140625,210.27000427246097,211.36000061035156,91531000,211.40600051879883,209.92120056152345,211.51466006038532,50.54871952325632,0.5155833271874997,-0.019368151293995606
2015-06-03,212.0,212.6699981689453,211.3300018310547,211.9199981689453,87820900,211.55700073242187,209.95960052490236,211.553263689772,52.72021621603283,0.4883062884067897,-0.040533808217980805
2015-06-04,211.07000732421875,211.86000061035156,209.75,210.1300048828125,151882800,211.66150131225587,209.98580047607422,211.41771523196633,45.79754396526456,0.3185791578368651,0.7294607547861613
2015-06-05,209.9499969482422,210.5800018310547,208.97999572753903,209.77000427246097,121704700,211.70650177001954,210.06600067138672,211.2607903786801,44.53107008369305,0.15325353211628112,-0.19869333459746596
2015-06-08,209.63999938964844,209.82000732421875,208.38999938964844,208.47999572753903,89063300,211.54950180053712,210.1302005004883,210.99595279285714,40.23713805016728,-0.08092823557441875,-0.2682016388849403
2015-06-09,208.4499969482422,209.1000061035156,207.69000244140625,208.4499969482422,105034700,211.44150161743164,210.18440032958983,210.7534808076557,40.140206019525024,-0.2658747854119099,0.17932638920857413
2015-06-10,209.3699951171875,211.41000366210935,209.3000030517578,210.9499969482422,134551300,211.4900016784668,210.2384002685547,210.77219663056871,50.781404697781184,-0.20831581693232692,0.2810176065624026
