epoch,train_loss,val_loss
1,0.02454156847609596,0.0009476709412410856
2,0.0006340634480782307,0.00015442857873858884
3,0.0004909516496699624,0.0003813801077194512
4,0.00047796259703581756,0.00011139814980560914
5,0.0004980960259348905,0.00010186470189364627
6,0.000566564135022309,0.0005334109654650092
7,0.0005680763907583991,0.00016331215883838012
8,0.0003780790609903712,0.0010252074850723148
9,0.0004697246713991837,0.0006212896555662155
10,0.0003904652172711298,8.74809452216141e-05
11,0.00037010798803926423,0.0008117996649816633
12,0.00032657343430780774,8.687457625637763e-05
13,0.0003317673358961682,0.00014612274745013566
14,0.00040928361802298384,0.00011187763517955319
15,0.0003651406845993559,0.00030108184507116677
16,0.0003141214591494966,0.00022079957672394812
17,0.0003044518214823426,0.00019605667691212147
18,0.0002894168677657954,8.766543568344786e-05
19,0.0003140058048027455,0.00028191828553099184
20,0.0003005753189345122,0.0001777326944284141
21,0.0002469199141626738,0.00034293199982494114
22,0.0002528451227012886,7.585236022714525e-05
23,0.00027551872606642333,0.0004461976171005517
24,0.00028517949448630665,0.000522340914234519
25,0.00031249971420771434,8.166316885035485e-05
26,0.00025338296071701497,0.00012206866522319615
27,0.00022550492755973913,8.805006113834678e-05
28,0.00022438430896880063,8.255078704678453e-05
29,0.0002446368594412889,0.00026977418083697557
30,0.00022866919205268964,8.594933745916933e-05
31,0.0001971402207221753,0.00010056126804556697
32,0.00022905461910312187,0.00012491178052732722
